,machine,N,duration,nodes,node_scaling,co_launch,full_SC,dt,repeat,version,use_cpu,cpu_cores,init_time,run_time,first_last_equal,total_time,Hardware
86,raven,1,60,10000,True,False,True,1.0,0,0.1.0rc1+2.g2d4c488,True,1,28.857014031,21230.271731267,True,21259.128745298,
87,raven,1,60,10000,True,False,True,1.0,0,0.1.0rc1+2.g2d4c488,True,1,28.8772953,20409.218899564,True,20438.096194864,
88,raven,2,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,1,2.896096521,20.483309496,True,23.379406017,
89,raven,2,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,1,2.882100308,20.422373505,True,23.304473813,
90,raven,4,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,1,2.884457015,40.723570385,True,43.608027400000005,
91,raven,4,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,1,2.891856222,40.688880552,True,43.580736774,
92,raven,8,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,1,2.879191266,81.102616738,True,83.981808004,
93,raven,8,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,1,2.880177721,80.999273011,True,83.879450732,
94,raven,16,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,1,2.885881425,162.509127544,True,165.395008969,
95,raven,16,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,1,2.884102035,162.000536473,True,164.88463850800002,
96,raven,32,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,1,2.888583864,325.377832869,True,328.26641673299997,
97,raven,32,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,1,2.894039062,324.232475497,True,327.126514559,
98,raven,64,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,1,2.874829438,649.411230813,True,652.286060251,
99,raven,64,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,1,2.876872738,649.244461383,True,652.121334121,
100,raven,128,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,1,2.885871118,1305.548275379,True,1308.434146497,
101,raven,128,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,1,2.912192103,1306.693132732,True,1309.6053248350001,
102,raven,256,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,1,2.882569761,2613.491750677,True,2616.374320438,
103,raven,256,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,1,2.891269293,2573.938098186,True,2576.8293674789998,
104,raven,1,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,144,2.889227568,10.228255495,True,13.117483063000002,
105,raven,1,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,144,2.886210837,10.228444253,True,13.11465509,
106,raven,2,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,144,2.905988474,10.208753542,True,13.114742016000001,
107,raven,2,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,144,2.895988415,10.206511783,True,13.102500198,
108,raven,4,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,144,2.888086565,10.174207893,True,13.062294458,
109,raven,4,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,144,2.913630396,10.165526868,True,13.079157264000001,
110,raven,8,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,144,2.905365887,10.289161792,True,13.194527679,
111,raven,8,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,144,2.911792456,10.226946864,True,13.13873932,
112,raven,16,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,144,2.903978659,10.280888695,True,13.184867354,
113,raven,16,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,144,2.906304729,10.202398627,True,13.108703356000001,
114,raven,32,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,144,2.886909615,10.255831578,True,13.142741193,
115,raven,32,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,144,2.89800047,10.166906475,True,13.064906944999999,
116,raven,64,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,144,2.916426062,10.188501534,True,13.104927596,
117,raven,64,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,144,2.921105424,10.143096519,True,13.064201943,
118,raven,128,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,144,2.891980284,18.299050391,True,21.191030675,
119,raven,128,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,144,2.895735406,18.189534998,True,21.085270404,
120,raven,256,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,144,2.903604286,36.545965069,True,39.449569354999994,
121,raven,256,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,144,2.91052506,36.544033565,True,39.454558625,
